Gobernador,SANDRA,PLAZA,PEREZ,13-06-2015,PSOE-A
Gójar,JOSE JOAQUIN,PRIETO,MORA,01-08-2017,PSOE-A
Gor,MIGUEL,MOLINA,SORIA,13-06-2015,PSOE-A
Gorafe,MIGUEL,PEREZ,NAVARRO,13-06-2015,PSOE-A
Granada,FRANCISCO,CUENCA,RODRIGUEZ,05-05-2016,PSOE-A
Guadahortuna,JOSEFA,CABALLERO,CABRERIZO,13-06-2015,PSOE-A
Guadix,INMACULADA,OLEA,LAGUNA,13-06-2015,PSOE-A
Gualchos,ANTONIA MARIA,ANTEQUERA,RODRIGUEZ,13-06-2015,PSOE-A
Güejar Sierra,JOSE ANTONIO,ROBLES,RODRIGUEZ,13-06-2015,P.P.
Güevéjar,MARIA DEL CARMEN,ARAQUE,JIMENEZ DE CISNEROS,13-06-2015,U.P.G.
Huélago,JOSE ANTONIO MANUEL,ORELLANA,JIMENEZ,20-06-2017,PSOE-A
Huéneja,SEBASTIAN,YEBRA,RAMIREZ,13-06-2015,PSOE-A
Huéscar,JOSE,GARCIA,GIRALTE,03-07-2015,PSOE-A
Huétor de Santillán,MARIA PILAR,PEREZ,RUBIO,13-06-2015,PSOE-A
Huétor Tájar,FERNANDO,DELGADO,AYEN,13-06-2015,PSOE-A
Huétor Vega,MARIANO,MOLINA,DEL PASO,13-06-2015,P.P.
Illora,ANTONIO JOSE,SALAZAR,PEREZ,13-06-2015,PSOE-A
Itrabo,ANTONIO JESUS,CARRASCOSA,VALVERDE,13-06-2015,PSOE-A
Iznalloz,ANA BELEN,GARRIDO,RAMIREZ,13-06-2015,P.P.
Jayena,VANESA,GUTIERREZ,PEREZ,13-06-2015,PSOE-A
Jerez del Marquesado,JOSE MARIA,BEAS,COBO,13-06-2015,P.P.
Jete,PLACIDO,JERONIMO,FERNANDEZ,13-06-2015,PSOE-A
Jun,JOSE ANTONIO,RODRIGUEZ,SALAS,13-06-2015,PSOE-A
Juviles,MARIA LOURDES,MOLINA,HENARES,13-06-2015,P.P.
"Calahorra, La",ALEJANDRO,RAMIREZ,PEREZ,13-06-2015,P.P.
Láchar,MARIA NIEVES,LOPEZ,NAVARRO,13-06-2015,PG
Lanjarón,JOSE ERIC,ESCOBEDO,JIMENEZ,13-06-2015,P.P.
Lanteira,JESUS,VILLALBA,NAVAS,13-06-2015,PSOE-A
Lecrín,SALVADOR,RAMIREZ,GONGORA,13-06-2015,PSOE-A
Lentegí,ANTONIO,RAMIREZ,RAMIREZ,13-06-2015,PSOE-A
Lobras,ANA,RODRIGUEZ,GUALDA,13-06-2015,PSOE-A
Loja,FRANCISCO JOAQUIN,CAMACHO,BORREGO,13-06-2015,P.P.
Lugros,AGUSTIN,FERNANDEZ,MOLINA,13-06-2015,P.P.
Lújar,MANUEL MARIANO,GONZALEZ,GALLEGOS,13-06-2015,P.P.
"Malahá, La",JOSE MARIA,VILLEGAS,JIMENEZ,13-06-2015,PSOE-A
