,,,,Ficha de concejales,
,,,,,
,,,,Ministerio de Hacienda y Administraciones Públicas,
,,,,,
,,,,,
Municipio,Nombre,Apellido,Apellido,fecha_posesion,Lista
Porcuna,MIGUEL ANTONIO,MORENO,LORENTE,25-01-2018,N.ADS.
Pozo Alcón,IVAN RAUL,CRUZ,LOZANO,13-06-2015,PSOE-A
Puente de Génave,RAMON,GALLEGO,MARTINEZ,13-06-2015,PSOE-A
"Puerta de Segura, La",JESUS,COZAR,PEREZ,27-11-2017,PSOE-A
Quesada,MANUEL,VALLEJO,LASO,13-06-2015,PSOE-A
Rus,AGUEDA,SANCHEZ,LOPEZ,04-12-2015,PSOE-A
Sabiote,LUIS MIGUEL,LOPEZ,BARRERO,13-06-2015,PSOE-A
Santa Elena,JUAN,CAMINERO,BERNAL,13-06-2015,P.P.
Santiago de Calatrava,ROCIO,ZAMORA,VIANA,13-06-2015,PSOE-A
Santisteban del Puerto,JUAN DIEGO,REQUENA,RUIZ,13-06-2015,P.P.
Santo Tomé,FRANCISCO,JIMENEZ,NOGUERAS,13-06-2015,PSOE-A
Segura de la Sierra,MARIA ESPERANZA,CHINCHILLA,VIZCAINO,13-06-2015,PSOE-A
Siles,FRANCISCO JAVIER,BERMUDEZ,CARRILLO,13-06-2015,P.P.
Sorihuela del Guadalimar,JOSE MANUEL,LEAL,GOMEZ,13-06-2015,P.P.
Torreblascopedro,JUAN MARIA,RUIZ,PALACIOS,13-06-2015,PA
Torre del Campo,FRANCISCA,MEDINA,TEVA,13-06-2015,PSOE-A
Torredonjimeno,MANUEL,ANGUITA,QUESADA,24-06-2017,PSOE-A
Torreperogil,JOSE,RUIZ,VILLAR,13-06-2015,PSOE-A
Torres,DIEGO,MONTESINOS,MOYA,13-06-2015,P.P.
Torres de Albánchez,NICOLAS,GRIMALDOS,GARCIA,13-06-2015,P.P.
Úbeda,ANTONIA,OLIVARES,MARTINEZ,13-06-2015,PSOE-A
Valdepeñas de Jaén,LAURA,NIETO,JAENES,25-03-2017,PSOE-A
Vilches,BARTOLOMÉ,GUIJO,TORRICO,13-06-2015,IULV-CA
Villacarrillo,FRANCISCO,MIRALLES,JIMENEZ,13-06-2015,P.P.
Villanueva de la Reina,BLAS,ALVES,MORIANO,13-06-2015,PSOE-A
Villanueva del Arzobispo,MARIA ISABEL,NOGUERAS,SANCHEZ,21-06-2018,P.P.
Villardompardo,FRANCISCO,LOPEZ,GAY,13-06-2015,P.P.
"Villares, Los",FRANCISCO JOSE,PALACIOS,RUIZ,13-06-2015,P.P.
Villarrodrigo,JOSE ANGEL,OLIVAS,CORRALES,13-06-2015,PSOE-A
Cárcheles,ENRIQUE,PUÑAL,RUEDA,25-01-2018,N.ADS.
Bedmar y Garcíez,JUAN FRANCISCO,SERRANO,MARTINEZ,13-06-2015,PSOE-A
Villatorres,SEBASTIAN,LOPEZ,MATEOS,13-06-2015,IULV-CA
Santiago-Pontones,PASCUAL,GONZALEZ,MORCILLO,13-06-2015,PSOE-A
Arroyo del Ojanco,MARIA LUISA,GOMEZ,BAUTISTA,13-06-2015,PSOE-A
